exercise_id,frame,source_path,width,height,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,rank
figure_four,START/END,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_start.png,1536,1024,7.2081,9.0625,8.0425,TOO PINK,PASS,68
hollow,START/END,Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_start.png,1536,1024,7.2081,9.0625,8.0425,TOO PINK,PASS,69
sideplank_reach,HERO,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_hero.png,1536,1024,11.0762,3.9277,7.8594,TOO ORANGE,PASS,70
bicycle,START,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_start.png,1536,1024,7.5260,7.8018,7.6501,PASS,TOO COOL/BLUE,71
abduction,HERO,Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_hero.png,1536,1024,7.2451,8.0026,7.5860,TOO PINK,TOO COOL/BLUE,72
sphinx,START/HERO/END,Pilates Assets/02_Exercise_Cards/Sphinx Stretch/sphinx_stretch_start.png,1536,1024,6.9643,8.3149,7.5721,PASS,TOO COOL/BLUE,73
hip_march,HERO,Pilates Assets/02_Exercise_Cards/Hip March/hip_march_hero.png,1536,1024,7.0721,7.9018,7.4454,PASS,PASS,74
legraises,HERO,Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_hero.png,1536,1024,10.1980,4.0609,7.4363,PASS,PASS,75
russian,START/END,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_start.png,1536,1024,6.5096,8.3912,7.3563,TOO PINK,TOO COOL/BLUE,76
bicycle,HERO,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_hero.png,1536,1024,8.9086,5.2413,7.2583,PASS,PASS,77
catcow,START,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,1536,1024,7.8741,6.4335,7.2258,TOO PALE,PASS,78
childs_pose,START/END,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_start.png,1536,1024,7.8741,6.4335,7.2258,TOO PALE,PASS,79
bird,START/END,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_start.png,1536,1024,7.8741,6.4335,7.2258,TOO PALE,PASS,80
deadbug,START/END,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_start.png,1536,1024,7.0120,7.4404,7.2048,PASS,TOO COOL/BLUE,81
glute_bridge_march,MID,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_mid.png,1536,1024,6.4026,8.1250,7.1777,PASS,TOO COOL/BLUE,82
abduction,START/END,Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_start.png,1536,1024,6.4026,8.1250,7.1777,PASS,TOO COOL/BLUE,83
catcow,END,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,1536,1024,8.0506,6.0767,7.1623,TOO PALE,PASS,84
hamstring_supine,START/END,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_start.png,1536,1024,5.5471,9.1010,7.1464,PASS,PASS,85
hundred,START/END,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_start.png,1536,1024,6.6671,6.8521,6.7504,PASS,TOO COOL/BLUE,86
toetap,HERO,Pilates Assets/02_Exercise_Cards/Toe Tap/toe_taps_hero.png,1536,1024,5.7797,7.8047,6.6909,PASS,TOO COOL/BLUE,87
bird,HERO,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_hero.png,1536,1024,7.3217,5.7222,6.6019,TOO PALE,PASS,88
catcow,HERO,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,1536,1024,7.1501,5.9167,6.5951,TOO PALE,PASS,89
swimming,HERO,Pilates Assets/02_Exercise_Cards/Swimming/swimming_hero.png,1536,1024,5.9128,7.3385,6.5543,PASS,TOO COOL/BLUE,90
chest_opener,HERO,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_hero.png,1536,1024,6.3538,6.7990,6.5542,PASS,PASS,91
frog,HERO,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,1536,1024,6.4438,6.6081,6.5177,PASS,PASS,92
hamstring_supine,HERO,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_hero.png,1536,1024,5.7951,7.1075,6.3857,PASS,PASS,93
hundred,HERO,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_hero.png,1536,1024,8.0724,4.0793,6.2755,TOO PINK,PASS,94
spine,START/END,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_start.png,1536,1024,5.2287,7.4433,6.2253,PASS,PASS,95
bicycle,END,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_end.png,1536,1024,9.1244,2.6686,6.2193,TOO PINK,PASS,96
scissors,MID,Pilates Assets/02_Exercise_Cards/Scissors/scissors_mid.png,1536,1024,6.2283,5.8713,6.0677,PASS,TOO COOL/BLUE,97
frog,START/END,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,1536,1024,5.1828,6.7881,5.9052,PASS,PASS,98
legraises,START/END,Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_start.png,1536,1024,7.3280,4.0451,5.8507,PASS,PASS,99
knee_pushup,HERO,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_hero.png,1536,1024,5.2806,5.8962,5.5576,PASS,PASS,100
childs_pose,HERO,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_hero.png,1536,1024,5.1228,5.9157,5.4796,PASS,TOO COOL/BLUE,101
spine,HERO,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_hero.png,1536,1024,4.1489,7.0318,5.4462,PASS,PASS,102
revcrunch,HERO,Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_hero.png,1536,1024,5.6968,4.8559,5.3184,PASS,PASS,103
heeltaps,START/END,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_start.png,1536,1024,4.8211,5.8200,5.2706,PASS,PASS,104
toetap,START/END,Pilates Assets/02_Exercise_Cards/Toe Tap/toe_tap_start.png,1536,1024,5.0017,5.1702,5.0775,PASS,PASS,105
revcrunch,START/END,Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_start.png,1536,1024,5.0017,5.1702,5.0775,PASS,PASS,106
knee_pushup,START/END,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_start.png,1536,1024,5.4286,4.3561,4.9460,PASS,PASS,107
chest_opener,START/END,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_start.png,1536,1024,4.3085,5.5698,4.8761,PASS,PASS,108
heeltaps,HERO,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_hero.png,1536,1024,3.4177,6.5981,4.8489,PASS,TOO COOL/BLUE,109
scissors,HERO,Pilates Assets/02_Exercise_Cards/Scissors/scissors_hero.png,1536,1024,5.3836,3.6384,4.5982,PASS,PASS,110
