exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score,source_sha256
rainbow,Rainbow Leg Raise,END,rainbow_leg_raise_end.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6804,2bb48aeeab818c3062a1ee173d804d0bbb0f9dc2699816ecc11d8c3e07569931
tap,Plank Shoulder Taps,HERO,plank_shoulder_taps_hero.png,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.6755,be4c5f2c3e5d7a14a0faf9a68414bc15a5f7c55ca57e66d099fe329ad0930060
bird,Bird Dog,START/END,bird_dog_start.png,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6646,1a58b872d3f2e152707a5927bfce0f0e00e815164a9b22cb6d7c7249e6383f16
catcow,Cat-Cow,START,cat_cow_start.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6646,1a58b872d3f2e152707a5927bfce0f0e00e815164a9b22cb6d7c7249e6383f16
childs_pose,Pozice dítěte,START/END,childs_pose_start.png,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6646,1a58b872d3f2e152707a5927bfce0f0e00e815164a9b22cb6d7c7249e6383f16
donkey,Zanožování v kleku,START/END,donkey_kick_start.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6646,1a58b872d3f2e152707a5927bfce0f0e00e815164a9b22cb6d7c7249e6383f16
donkey,Zanožování v kleku,HERO,donkey_kick_hero.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6504,7753402994688abc3a80054f331cdb7eabe603f1335d93bbacba7c250acf027c
supine_twist,Rotace páteře vleže,START/END,supine_twist_start.png,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.6355,397165010ce8a2ba92a31431477e02607cc38ed47b3290f67896e1f50577075e
hundred,Kmity pažemi vleže,START/END,hundred_start.png,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6319,1b2bc83cd4c19f098615d05574822fa715c5dcd48264cdcdcadaac1f4a75ed54
bird,Bird Dog,HERO,bird_dog_hero.png,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.6242,f5924c8120ba5eb9abf8953b392e1ffd3552232d642f1943a795d2bd3d66038c
mermaid,Mermaid Stretch,START/END,mermaid_stretch_start.png,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.6105,1ae30978ddf4373a5498c77205e60c87ef0ac76e7287033c0867f65bc157d6fc
swimming,Swimming,HERO,swimming_hero.png,Pilates Assets/02_Exercise_Cards/Swimming/swimming_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.5971,6ffa0c6d136f4573d8f20a82243ae8d21147cf647d94c9a5f4a6afd37f534990
raise,Lateral Raise,HERO,lateral_raise_hero.png,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,1536,1024,RGB,PASS,wall too blue/cold,0.5223,a12091fb4533d8b5ca8e170c2a108b5032aa27ed1fb38a1f12ae085a38bbcc89
spine,Protažení páteře v sedu,START/END,spine_stretch_start.png,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_start.png,1536,1024,RGB,PASS,,0.4980,6a431021c45bce007f9946fc2919d4037118d04c23f010d0e822c789ff7ef382
toetap,Toe Taps,HERO,toe_taps_hero.png,Pilates Assets/02_Exercise_Cards/Toe Tap/toe_taps_hero.png,1536,1024,RGB,PASS,,0.4980,9c7120aa490af2f0c94dd864e0d2de91d89533005af2af183b2475cfd43a585f
heeltaps,Heel Taps,HERO,heel_taps_hero.png,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_hero.png,1536,1024,RGB,PASS,,0.4845,919dfa2c6288fc59040a70d94657ef359548669b057a86b68aa1b898daeea085
