exercise_id,frame_label,source_path,width,height,mode,format,sha256_before
sideplank_reach,START,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_start.png,1536,1024,RGB,PNG,67d93f038db9c216bec4e1b0c7d7d9022d05a84c55e5efd2618e3e7577f8e9bb
sideplank_reach,HERO,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_hero.png,1536,1024,RGB,PNG,c00dae126a2115794506d9329c7f07ab834a84f6b4096e1f7fe4fcb9c2c6f2ff
sideplank_reach,END,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_end.png,1536,1024,RGB,PNG,80ac0ad3f594b49a24eb9beb7e076588f9af4d98a6765df971d822d32d52c55f
heeltaps,START / END,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_start.png,1536,1024,RGB,PNG,b570f9e7df3323670d679dbdac97864b80a450dc608e57577da1b2374f40a6dc
heeltaps,HERO,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_hero.png,1536,1024,RGB,PNG,919dfa2c6288fc59040a70d94657ef359548669b057a86b68aa1b898daeea085
bicycle,START,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_start.png,1536,1024,RGB,PNG,703fed20ee7037aa72ffecaf30dd9086341363c05ebfd6e3b77dd3269f623a6b
bicycle,HERO,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_hero.png,1536,1024,RGB,PNG,93889f84f6fa815714ceeb7c5e7281c69220a1f9b579342ca8c921ac2ce679c7
bicycle,END,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_end.png,1536,1024,RGB,PNG,ba012bcfae8d6aef2758d0ad42343ba5542f090d1abc0db3e104dd3a1b8d69da
sphinx,START / HERO / END,Pilates Assets/02_Exercise_Cards/Sphinx Stretch/sphinx_stretch_start.png,1536,1024,RGB,PNG,fcad29f8c657327a9d11e7d2ddb48e6bc9dcec540ac88a871b07f961f0e17f98
knee_pushup,START / END,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_start.png,1536,1024,RGB,PNG,542a4176948792153069208ffea6b5a709e607b9e7f617373971a61ea3d64938
knee_pushup,HERO,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_hero.png,1536,1024,RGB,PNG,da4bb980451fd63a45f206e91718ffe78e03fa59ab65ded0d96a849f4eb55bb2
swimming,START / END,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,1536,1024,RGB,PNG,8a12b4e91a86ddd769bd16c8da8c34db0aa7df3414ad0005324798f8d7037556
swimming,HERO,Pilates Assets/02_Exercise_Cards/Swimming/swimming_hero.png,1536,1024,RGB,PNG,358f92224f6daebdd58e58944bb8e7586c721a17fc8ae9fc8c493bcf8522464e
hundred,START / END,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_start.png,1536,1024,RGB,PNG,5903945a4aa216bc287b94c19ed23a235024c3a8618c3539fdcddd49ce6efc8d
hundred,HERO,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_hero.png,1536,1024,RGB,PNG,ad6673a96acdb003149ec41046866c6d6ac2e4b2a13cd17609a06e6575db99f7
scissors,START / END,Pilates Assets/02_Exercise_Cards/Scissors/scissors_start.png,1536,1024,RGB,PNG,148e35da57bb9d998aedf38bdbc33f0567b50f39a9ba67f8dc426f89b5cb99ce
scissors,MID,Pilates Assets/02_Exercise_Cards/Scissors/scissors_mid.png,1536,1024,RGB,PNG,d2ba8031043856a4f33303a2d0ff4e3321052df8975c4ff15ae8da39936d5577
scissors,HERO,Pilates Assets/02_Exercise_Cards/Scissors/scissors_hero.png,1536,1024,RGB,PNG,057fc14e74f4aaa37920227465ef95d766a8f9c3c97647bc3aa4d6da20e34945
russian,START / END,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_start.png,1536,1024,RGB,PNG,b0543e42a4ec238fff35c2105c8b84fb88545c5a5645740ed4d5c52ccf2748aa
russian,HERO,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,1536,1024,RGB,PNG,6f644bf823e9f5d99a6b1707b9e90ffcfd978b87478ad83f488b84f49b4b035e
legraises,START / END,Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_start.png,1536,1024,RGB,PNG,65921706ad2ba918f267d94ba8fbd23dda86a95bfb69dfbb8d61afd91f10db17
legraises,HERO,Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_hero.png,1536,1024,RGB,PNG,54ce8c27f958f5b983693602ad0862510478939eda7091e015870e44f0060e93
thread,START / END,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_start.png,1536,1024,RGB,PNG,1c016660524ba45d2157d490e80636d94318b8bf1641f01d9a62702f79b9bff3
thread,HERO,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_hero.png,1536,1024,RGB,PNG,142d1c29a55895db840f870c54385cb789274ef1d9a104635119d5b915c894f1
spine,START / END,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_start.png,1536,1024,RGB,PNG,6a431021c45bce007f9946fc2919d4037118d04c23f010d0e822c789ff7ef382
spine,HERO,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_hero.png,1536,1024,RGB,PNG,06531ea5e2c3796a4cacde7c400a1c7ee5b08b199ec465500a5076b664cdc418
catcow,START,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,1536,1024,RGB,PNG,9d4cded4f4f1bfd7fb286735f448f2dae60ff7864d183eb9429d541d58e95a2c
catcow,HERO,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,1536,1024,RGB,PNG,ec3b49e1e85abd125791ddce66aef8816350444cb56653d868572e5106b0beca
catcow,END,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,1536,1024,RGB,PNG,0dd696918c9b8f14a3b376f8538bb3c105bad71341cfd3be7d122ddb22aba450
childs_pose,START / END,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_start.png,1536,1024,RGB,PNG,9d4cded4f4f1bfd7fb286735f448f2dae60ff7864d183eb9429d541d58e95a2c
childs_pose,HERO,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_hero.png,1536,1024,RGB,PNG,ee55f6610090227719b2f9c0724843fbce72c60d006274547b3cec232acf68b8
